"","date","mean_daily_sentiment","total_tweets","total_tweets_incl_retweets"
"110",2018-01-18,-0.00236786595730867,8508,10899
"111",2018-01-19,0.00792964082180229,7177,8479
"112",2018-01-20,0.0179743843768378,6729,7873
"113",2018-01-21,0.0213773880370755,5958,6974
"114",2018-01-22,0.0318381986111802,5781,7075
"115",2018-01-23,0.0160942575817886,6249,7193
"116",2018-01-24,0.00634562142542105,6889,8589
"117",2018-01-25,0.00293437421285987,7251,8553
"118",2018-01-26,-0.00656334819132865,6909,8003
"119",2018-01-27,-0.0104881188831932,5811,6760
"120",2018-01-28,-0.00160834880249523,5486,6298
"121",2018-01-29,0.0346758823159186,10382,12752
"122",2018-01-30,-0.00280619504744552,6421,7820
"123",2018-01-31,0.00102647424941266,7231,8652
"124",2018-02-01,-0.00228636024689854,6072,11523
"125",2018-02-02,-0.00588624821395248,5422,6997
"126",2018-02-03,-0.00507419794074939,4768,6355
"127",2018-02-04,-0.00598027438499369,3779,4437
"128",2018-02-05,-0.00223164690909401,4148,5289
"129",2018-02-06,0.00827868867444024,4748,5794
"130",2018-02-07,-0.00481023865736937,5206,6526
"131",2018-02-08,-0.0207421475607292,5793,7043
"132",2018-02-09,-0.0480642491159754,7535,9449
"133",2018-02-10,-0.0527871396159056,128,129
"134",2018-02-11,-0.0215211839140182,6573,8171
"135",2018-02-12,-0.0141301514562492,7477,9371
"136",2018-02-13,-0.00240301538135704,6121,7494
"137",2018-02-14,-0.0175365721266012,6020,6739
"138",2018-02-15,-0.0147071053703242,4974,6043
"139",2018-02-16,0.00301460527054022,3861,5125
"140",2018-02-17,0.00307792605628528,2935,3270
"141",2018-02-18,0.000250069227485274,2853,3812
"142",2018-02-19,0.0093562896163627,3946,5310
"143",2018-02-20,-0.00152821261624721,4651,6278
"144",2018-02-21,0.00189666921550566,4280,5396
"145",2018-02-22,0.00889239933936668,4067,4781
"146",2018-02-23,0.00151585639409236,3556,4309
"147",2018-02-24,-0.000634648426209436,2605,3032
"148",2018-02-25,0.00137712534234513,2260,3392
"149",2018-02-26,0.0139935461675128,4475,5347
"150",2018-02-27,0.0158938907891705,4360,5216
"151",2018-02-28,0.00316644826108894,4839,5218
"152",2018-03-01,0.0245724151341313,4847,10097
"153",2018-03-02,0.0320538414626231,5197,7403
"154",2018-03-03,0.0339918176324335,4148,4999
"155",2018-03-04,0.0243073871995189,4699,6170
"156",2018-03-05,0.0303525148047382,11679,13944
"157",2018-03-06,0.00937023607164166,5194,6652
"158",2018-03-07,0.0112148796364334,4473,5329
"159",2018-03-08,0.0560504148685933,8399,10690
"160",2018-03-09,0.00789837276691236,4722,5879
"161",2018-03-10,0.00934548750693219,2620,3033
"162",2018-03-11,0.0155717924039051,2227,2889
"163",2018-03-12,0.0178323302203522,3421,4281
